phi_21,phi_37,cond_21,cond_37,sync_21,sync_37,entropy_21,entropy_37,k90_21,k90_37,kstar,kmod,seed_id,anchors
9.900375881211e-01,9.945310503776e-01,1.558267056500e+00,1.547056255013e+00,4.344035129223e-01,4.077754903069e-01,2.266216555399e+00,2.685160815771e+00,1.400000000000e+01,2.200000000000e+01,5.000000000000e+00,7.000000000000e+00,0,"4,7,10,12,14,16,17,18,21,24,26,29,34,39"
1.013270590613e+00,9.924377479073e-01,1.539915231392e+00,1.540493241691e+00,4.608441682639e-01,3.899574124167e-01,2.179268014779e+00,2.696246449829e+00,1.400000000000e+01,2.200000000000e+01,2.000000000000e+01,4.800000000000e+01,1,"3,6,7,9,10,12,13,15,18,19,20,21,25,29,35"
1.018125207960e+00,9.891379122195e-01,1.549476951369e+00,1.527661005593e+00,4.790977635211e-01,4.426370378316e-01,2.105698373965e+00,2.523228220034e+00,1.400000000000e+01,2.100000000000e+01,8.000000000000e+00,2.600000000000e+01,2,"4,6,7,10,11,15,16,17,18,20,21,23,28,32,36"
1.011810246498e+00,9.812386359905e-01,1.547031306274e+00,1.564966209858e+00,4.499682373046e-01,3.748973751644e-01,2.187167429576e+00,2.749252191636e+00,1.400000000000e+01,2.200000000000e+01,5.000000000000e+00,5.300000000000e+01,3,"7,8,10,11,13,15,17,19,20,21,26,27,29,30,32"
9.783721250366e-01,9.974856160251e-01,1.559573699084e+00,1.516881624188e+00,4.340270921358e-01,4.422649544268e-01,2.254309570632e+00,2.521296450738e+00,1.400000000000e+01,2.100000000000e+01,5.000000000000e+00,2.400000000000e+01,4,"4,5,7,8,9,13,14,17,18,19,20,22,24,26,29,31"
1.009657396633e+00,1.000767737671e+00,1.495457973567e+00,1.525643307267e+00,5.451479393403e-01,4.213313367078e-01,1.896374280309e+00,2.549574589472e+00,1.300000000000e+01,2.100000000000e+01,8.000000000000e+00,1.500000000000e+01,5,"6,8,9,11,12,14,17,19,21,22,28,29,32,38"
9.900530553442e-01,1.010884036539e+00,1.519303326017e+00,1.522799561493e+00,4.523889258603e-01,4.175985710170e-01,2.212614282011e+00,2.665378398057e+00,1.400000000000e+01,2.200000000000e+01,8.000000000000e+00,5.900000000000e+01,6,"3,4,7,8,9,11,13,14,16,18,19,21,22,26,30"
1.025002682077e+00,1.016015094189e+00,1.544003212504e+00,1.530204082697e+00,4.226165560609e-01,4.208991886022e-01,2.297394724948e+00,2.644935495748e+00,1.400000000000e+01,2.200000000000e+01,8.000000000000e+00,5.800000000000e+01,7,"6,8,9,10,11,12,13,15,17,18,20,21,24,27,29,33"
1.015745561173e+00,9.971810455667e-01,1.530909207221e+00,1.529785068153e+00,4.548165152797e-01,4.232848320667e-01,2.201848864714e+00,2.614810078964e+00,1.400000000000e+01,2.100000000000e+01,5.000000000000e+00,2.200000000000e+01,8,"3,6,8,11,14,16,20,21,23,24,25,29,33,37"
1.029690072228e+00,9.867419074250e-01,1.547539908022e+00,1.547808191200e+00,4.460665197680e-01,3.951630312617e-01,2.211853188181e+00,2.703505855496e+00,1.400000000000e+01,2.200000000000e+01,5.700000000000e+01,5.300000000000e+01,9,"5,8,9,10,13,14,15,16,18,20,21,23,26,29,32,39"
9.923773114236e-01,1.021957792433e+00,1.505967446360e+00,1.503251137315e+00,5.056348314290e-01,4.589118281813e-01,2.062872201192e+00,2.523612462439e+00,1.400000000000e+01,2.100000000000e+01,5.000000000000e+00,4.500000000000e+01,10,"6,9,10,11,12,15,16,17,18,20,21,23,24,27,29,37,39"
1.013454813866e+00,9.859222765485e-01,1.589469443345e+00,1.583994117575e+00,4.229556214356e-01,3.711867239969e-01,2.243231975013e+00,2.761526910095e+00,1.400000000000e+01,2.200000000000e+01,5.000000000000e+00,5.500000000000e+01,11,"3,6,9,11,13,15,16,17,18,20,23,26,27,30,32,38,45"
1.013807695389e+00,1.002051072474e+00,1.505615620710e+00,1.522844724325e+00,5.172091472727e-01,4.460802324760e-01,2.013281660840e+00,2.544652914747e+00,1.400000000000e+01,2.100000000000e+01,5.000000000000e+00,5.900000000000e+01,12,"4,5,6,7,9,10,13,16,17,19,20,21,24,25,28,32"
1.000189950669e+00,1.002047975161e+00,1.546854214353e+00,1.518565723199e+00,4.373329151143e-01,4.532198243831e-01,2.214014173711e+00,2.539745266911e+00,1.400000000000e+01,2.100000000000e+01,5.000000000000e+00,2.800000000000e+01,13,"4,5,8,10,11,15,17,19,20,22,26,27,30,34"
1.001604672343e+00,1.010566805492e+00,1.532633251767e+00,1.536128997996e+00,4.691653781539e-01,4.206841519780e-01,2.173120315165e+00,2.644893147677e+00,1.400000000000e+01,2.200000000000e+01,5.000000000000e+00,6.000000000000e+01,14,"4,7,9,10,13,15,17,19,21,28,34,37"
9.941916465048e-01,1.003318859586e+00,1.531809515218e+00,1.533353659593e+00,4.679958142608e-01,4.148883556656e-01,2.147819569050e+00,2.648112408351e+00,1.400000000000e+01,2.200000000000e+01,2.200000000000e+01,4.900000000000e+01,15,"4,6,8,9,11,12,15,16,19,21,24,26,27,30"
9.753832138823e-01,9.987395253261e-01,1.560195336970e+00,1.545335220406e+00,4.099624933936e-01,4.020947715057e-01,2.285911656467e+00,2.693811301816e+00,1.500000000000e+01,2.200000000000e+01,5.000000000000e+00,3.300000000000e+01,16,"6,8,9,12,14,17,19,20,23,25,28,30,33,36,39,42"
1.014928779502e+00,9.986083960899e-01,1.565826668752e+00,1.568123259130e+00,4.272374601135e-01,3.662794521990e-01,2.258755118973e+00,2.795395627030e+00,1.500000000000e+01,2.300000000000e+01,5.000000000000e+00,6.000000000000e+01,17,"5,7,9,12,14,18,19,20,21,23,24,26,28,30,32,33"
1.009005816327e+00,1.017168861595e+00,1.528966462423e+00,1.541466287040e+00,4.857263780744e-01,4.002716674853e-01,2.137175379648e+00,2.669793499981e+00,1.400000000000e+01,2.200000000000e+01,5.000000000000e+00,1.900000000000e+01,18,"3,6,8,11,12,15,17,18,19,21,23,25,26,28,29,30,33"
9.885924591815e-01,1.005800195775e+00,1.543798659076e+00,1.553682190566e+00,4.582792171262e-01,3.900433771029e-01,2.176905580230e+00,2.726353946495e+00,1.400000000000e+01,2.200000000000e+01,5.000000000000e+00,6.000000000000e+01,19,"4,5,7,8,10,11,13,17,19,21,22,24,25,27"
