symbol,Z,group,period,block,PC1,PC2,cluster_id,UMAP1,UMAP2,top_layers
H,1,1,1,s,2.174320485919e+00,-1.648751961664e+00,0,,,"b20,b36,b28"
He,2,18,1,s,1.025046938354e+01,-3.853078601078e+00,0,,,"b25,b36,b20"
Li,3,1,2,s,7.343019721139e+00,-1.648316326466e+00,0,,,"b31,b32,b24"
Be,4,2,2,s,1.100430057288e+01,-2.690036759622e+00,0,,,"b32,b24,b22"
B,5,13,2,p,9.864206499420e+00,-1.762284836583e+00,0,,,"b22,b27,b21"
C,6,14,2,p,2.832978467324e+00,1.347748073246e+00,2,,,"b10,b08,b09"
N,7,15,2,p,2.918023431854e+00,-6.077488446275e-01,0,,,"b29,b28,b30"
O,8,16,2,p,3.562383236629e+00,-1.438155405382e-01,0,,,"b25,b28,b30"
F,9,17,2,p,4.250217753980e+00,1.345458522811e-01,0,,,"b14,b13,b15"
Ne,10,18,2,p,6.804456547715e+00,-3.309691463386e+00,0,,,"b20,b29,b28"
Na,11,1,3,s,9.344199386050e+00,-2.129849194888e+00,0,,,"b30,b31,b23"
Mg,12,2,3,s,4.954797831894e+00,-8.157515548716e-01,0,,,"b32,b24,b22"
Al,13,13,3,p,-1.616755651054e-01,8.477595395146e-01,1,,,"b02,b20,b36"
Si,14,14,3,p,5.733571359507e-01,1.183595244809e+00,1,,,"b19,b37,b20"
P,15,15,3,p,9.304094036233e-01,1.904704340614e-01,1,,,"b29,b28,b02"
S,16,16,3,p,1.504191678233e+00,5.324887956969e-01,1,,,"b02,b29,b28"
Cl,17,17,3,p,2.225142721336e+00,1.207466747526e-01,1,,,"b29,b28,b30"
Ar,18,18,3,p,4.691561237532e+00,-1.281918713859e+00,0,,,"b36,b20,b29"
K,19,1,4,s,1.904641899104e+00,1.159283208446e+00,3,,,"b05,b06,b04"
Ca,20,2,4,s,1.755486204247e+00,1.111212292236e+00,1,,,"b19,b25,b36"
Sc,21,3,4,d,-3.906839368113e-01,1.659048610390e+00,1,,,"b01,b19,b37"
Ti,22,4,4,d,-5.730834729128e-01,1.984147892543e+00,1,,,"b01,b19,b37"
V,23,5,4,d,-7.274421099288e-01,2.004157711619e+00,1,,,"b01,b19,b28"
Cr,24,6,4,d,1.080034701168e+00,1.273023804386e+00,1,,,"b01,b19,b22"
Mn,25,7,4,d,3.930507101692e-01,1.637446549016e+00,1,,,"b36,b19,b02"
Fe,26,8,4,d,5.659147004065e-01,2.234492227321e+00,1,,,"b01,b19,b25"
Co,27,9,4,d,-3.459676626720e+00,1.429621108869e+00,1,,,"b34,b29,b37"
Ni,28,10,4,d,-6.967488623228e-01,1.617474892663e+00,1,,,"b37,b02,b20"
Cu,29,11,4,d,7.265081565855e-01,7.035749370596e-01,1,,,"b02,b37,b36"
Zn,30,12,4,d,2.434820855618e+00,-5.018628591546e-02,1,,,"b31,b26,b36"
Ga,31,13,4,p,4.224186971181e-01,9.182482767202e-01,1,,,"b37,b20,b36"
Ge,32,14,4,p,6.334170232508e-01,1.420424549399e+00,1,,,"b19,b37,b25"
As,33,15,4,p,2.518768275780e-02,5.381887147535e-01,1,,,"b19,b02,b34"
Se,34,16,4,p,3.256729863508e-01,6.848671745320e-01,1,,,"b37,b20,b29"
Br,35,17,4,p,1.404228532458e+00,5.000927278881e-01,1,,,"b15,b29,b28"
Kr,36,18,4,p,6.060365547266e+00,-2.050758156890e+00,0,,,"b27,b21,b22"
Rb,37,1,5,s,-8.328520513633e-01,8.388716060273e-01,1,,,"b07,b30,b29"
Sr,38,2,5,s,-2.476050409496e-01,1.236487433599e+00,1,,,"b36,b34,b19"
Y,39,3,5,d,-1.307535630815e+00,2.445848769930e+00,3,,,"b03,b04,b06"
Zr,40,4,5,d,-1.559719215443e+00,2.094211158429e+00,1,,,"b28,b29,b37"
Nb,41,5,5,d,-3.434442511569e+00,1.489969022525e+00,1,,,"b34,b29,b37"
Mo,42,6,5,d,1.180900007935e-01,4.143968746017e+00,1,,,"b12,b13,b14"
Tc,43,7,5,d,-1.100190517326e+00,1.927844073745e+00,1,,,"b02,b37,b28"
Ru,44,8,5,d,-1.128861045557e+00,1.987169965385e+00,1,,,"b28,b02,b37"
Rh,45,9,5,d,-1.357203770947e+00,1.859561237757e+00,1,,,"b28,b02,b37"
Pd,46,10,5,d,-3.456398600497e+00,1.450566497517e+00,1,,,"b34,b29,b37"
Ag,47,11,5,d,1.222735097779e-01,-9.994072847278e-02,1,,,"b37,b19,b02"
Cd,48,12,5,d,8.316715862481e-01,-8.067144100954e-02,1,,,"b19,b29,b34"
In,49,13,5,p,-7.982168940007e-01,1.285075241697e+00,1,,,"b37,b19,b36"
Sn,50,14,5,p,-2.232409389282e-01,1.132628312589e+00,1,,,"b37,b20,b34"
Sb,51,15,5,p,-9.334027607957e-02,1.035529199825e+00,1,,,"b37,b09,b19"
Te,52,16,5,p,-4.919802701325e-02,7.598779214222e-01,1,,,"b19,b37,b20"
I,53,17,5,p,9.205461989085e-01,2.594636050581e-01,1,,,"b02,b29,b28"
Xe,54,18,5,p,3.365804967033e+00,-1.107520756380e+00,0,,,"b36,b20,b28"
Cs,55,1,6,s,-1.154808581611e+00,1.031893354584e+00,1,,,"b29,b30,b23"
Ba,56,2,6,s,-6.387972168255e-01,1.745169834114e+00,1,,,"b15,b36,b07"
La,57,3,6,f,-1.431045270604e+00,2.031480142546e+00,1,,,"b28,b29,b37"
Ce,58,3,6,f,-1.292203105243e+00,2.641027535065e+00,1,,,"b19,b29,b28"
Pr,59,3,6,f,-1.847440065556e+00,2.179400523264e+00,1,,,"b29,b28,b30"
Nd,60,3,6,f,-1.365392133888e+00,2.363258666251e+00,1,,,"b19,b29,b28"
Pm,61,3,6,f,-1.874968387642e+00,2.013700511407e+00,1,,,"b02,b29,b30"
Sm,62,3,6,f,-1.513658125678e+00,2.314152718028e+00,1,,,"b29,b28,b02"
Eu,63,3,6,f,-3.926964551943e-01,2.036717687827e+00,1,,,"b36,b19,b02"
Gd,64,3,6,f,-1.170424959312e+00,2.345629927874e+00,1,,,"b19,b28,b29"
Tb,65,3,6,f,-1.508671847001e+00,2.419411884749e+00,1,,,"b19,b28,b29"
Dy,66,3,6,f,-7.779276127773e-01,2.406782428261e+00,1,,,"b19,b36,b02"
Ho,67,3,6,f,-1.700013248123e+00,1.996862625818e+00,1,,,"b29,b28,b30"
Er,68,3,6,f,-7.511195824224e-01,2.386788321021e+00,1,,,"b19,b36,b02"
Tm,69,3,6,f,-2.656316400058e-01,2.453799618237e+00,1,,,"b36,b19,b15"
Yb,70,3,6,f,-6.195245831716e-01,1.424499243105e+00,1,,,"b02,b07,b34"
Lu,71,3,6,f,-1.252690576339e+00,1.875622791393e+00,1,,,"b02,b07,b37"
Hf,72,4,6,d,-2.268015104226e+00,-2.904751191482e+00,4,,,"b16,b18,b17"
Ta,73,5,6,d,-1.200895942299e+00,2.015109561078e+00,1,,,"b02,b07,b37"
W,74,6,6,d,-1.752566216402e+00,-2.867239156118e+00,4,,,"b16,b18,b17"
Re,75,7,6,d,-6.946128171879e-01,1.736303133753e+00,1,,,"b02,b37,b07"
Os,76,8,6,d,-9.498386025614e-01,1.857039300170e+00,1,,,"b02,b37,b28"
Ir,77,9,6,d,-8.651979897816e-01,1.681955221687e+00,1,,,"b02,b37,b28"
Pt,78,10,6,d,-4.249677395318e-01,1.388260026411e+00,1,,,"b37,b20,b07"
Au,79,11,6,d,-4.424100188168e-01,9.645944672911e-01,1,,,"b19,b37,b02"
Hg,80,12,6,d,1.687645665296e+00,-3.648113344646e-01,1,,,"b36,b28,b29"
Tl,81,13,6,p,-8.214963085318e-01,1.246166375559e+00,1,,,"b19,b37,b36"
Pb,82,14,6,p,-3.687141790910e-01,9.084687061326e-01,1,,,"b19,b02,b37"
Bi,83,15,6,p,2.782334186886e-02,1.547418298734e+00,1,,,"b15,b14,b09"
Po,84,16,6,p,-8.164645205002e-01,1.243095792385e+00,1,,,"b19,b02,b37"
At,85,17,6,p,-1.572631272287e+00,1.647094152105e+00,1,,,"b02,b16,b18"
Rn,86,18,6,p,6.615772643328e-01,-5.951969220310e-01,1,,,"b37,b20,b36"
Fr,87,1,7,s,-1.762891874673e+00,1.991577228440e+00,1,,,"b11,b23,b30"
Ra,88,2,7,s,-1.388168391540e+00,1.018805083585e+00,1,,,"b19,b25,b29"
Ac,89,3,7,f,-1.983353428241e+00,1.728656379584e+00,1,,,"b29,b28,b19"
Th,90,3,7,f,-2.444584649218e-01,2.723734624386e+00,1,,,"b01,b19,b36"
Pa,91,3,7,f,-2.446789940557e+00,-2.498611693782e+00,1,,,"b33,b35,b34"
U,92,3,7,f,-2.299613442749e+00,-2.593335845233e+00,1,,,"b33,b35,b34"
Np,93,3,7,f,-2.322036142256e+00,-2.438670287335e+00,1,,,"b33,b35,b34"
Pu,94,3,7,f,-2.366585578284e+00,-2.380491041746e+00,1,,,"b33,b35,b34"
Am,95,3,7,f,-2.509607252383e+00,-2.074692179990e+00,1,,,"b33,b35,b34"
Cm,96,3,7,f,-2.342179843066e+00,-2.361660877812e+00,1,,,"b33,b35,b34"
Bk,97,3,7,f,-2.304128529236e+00,-2.547994088058e+00,1,,,"b33,b35,b34"
Cf,98,3,7,f,-2.385540320015e+00,-2.257836194873e+00,1,,,"b33,b35,b34"
Es,99,3,7,f,-2.528181800662e+00,-2.359200252564e+00,1,,,"b33,b35,b34"
Fm,100,3,7,f,-3.463056789607e+00,-6.279475425214e+00,4,,,"b16,b18,b17"
Md,101,3,7,f,-3.434576742922e+00,-6.300320249653e+00,4,,,"b16,b18,b17"
No,102,3,7,f,-3.420580834266e+00,-6.310563991949e+00,4,,,"b16,b18,b17"
Lr,103,3,7,f,-3.967357044834e+00,-5.910373141034e+00,4,,,"b16,b18,b17"
Rf,104,4,7,d,-3.618476472945e+00,-6.165722240416e+00,4,,,"b16,b18,b17"
Db,105,5,7,d,-3.357273759063e+00,-6.356899058846e+00,4,,,"b16,b18,b17"
Sg,106,6,7,d,-3.031787511236e+00,-6.595125623867e+00,4,,,"b16,b18,b17"
Bh,107,7,7,d,-3.072473292215e+00,-6.565347303239e+00,4,,,"b16,b18,b17"
Hs,108,8,7,d,-3.113159073193e+00,-6.535568982612e+00,4,,,"b16,b18,b17"
