n_bands,binning,mean_top10_anova_block,mean_top10_anova_period,periodicity_strength,silhouette_best,best_k,Z_R2,p_block,p_period,p_periodicity,p_silhouette,p_Z_R2,feature_corr_vs_log,top_layers_jaccard_vs_log,cluster_ari_vs_log,n_perm
16,linear,2.331743060576e+00,2.319831144355e+00,6.410781547749e+07,8.503667246897e-01,3,3.763643921408e-01,1.990049751244e-02,1.044776119403e-01,1.293532338308e-01,4.761904761905e-02,4.975124378109e-03,-2.118757607175e-02,2.500000000000e-01,-1.877681181428e-02,200
16,log,4.580492394031e+00,1.221683926512e+01,3.329893409871e+07,7.450481076867e-01,2,6.097720292461e-01,4.975124378109e-03,4.975124378109e-03,2.139303482587e-01,4.761904761905e-02,4.975124378109e-03,1.000000000000e+00,1.000000000000e+00,1.000000000000e+00,200
16,quantile,5.974998130295e+00,5.440732999288e+00,1.120818908620e+07,7.763833622803e-01,2,5.240299772387e-01,4.975124378109e-03,4.975124378109e-03,4.975124378109e-02,4.761904761905e-02,4.975124378109e-03,4.227911313009e-01,4.285714285714e-01,-2.491362280694e-02,200
24,linear,2.930896018318e+00,4.076916648043e+00,4.213069666093e+07,8.472152281253e-01,2,4.012836054937e-01,4.975124378109e-03,5.970149253731e-02,9.452736318408e-02,4.761904761905e-02,4.975124378109e-03,-1.411423108990e-02,1.111111111111e-01,-2.925437519869e-02,200
24,log,5.009745064905e+00,1.530649414743e+01,2.245365911898e+07,7.393699467165e-01,2,6.151064359401e-01,4.975124378109e-03,4.975124378109e-03,1.492537313433e-01,4.761904761905e-02,4.975124378109e-03,1.000000000000e+00,1.000000000000e+00,1.000000000000e+00,200
24,quantile,6.426189732742e+00,6.265983030054e+00,5.250295231023e+06,7.716229729866e-01,2,5.685826709195e-01,4.975124378109e-03,1.990049751244e-02,5.472636815920e-02,4.761904761905e-02,4.975124378109e-03,3.317303423417e-01,2.500000000000e-01,5.483654763068e-01,200
32,linear,3.376274824418e+00,3.717762359768e+00,3.131265010217e+07,8.502030175068e-01,2,4.461981094718e-01,4.975124378109e-03,6.467661691542e-02,9.452736318408e-02,4.761904761905e-02,4.975124378109e-03,-1.060830043346e-02,5.263157894737e-02,-1.877681181428e-02,200
32,log,6.406603772441e+00,1.989496036489e+01,1.628743291805e+07,7.408210726150e-01,2,6.597320606141e-01,4.975124378109e-03,4.975124378109e-03,1.691542288557e-01,4.761904761905e-02,4.975124378109e-03,1.000000000000e+00,1.000000000000e+00,1.000000000000e+00,200
32,quantile,6.717315711747e+00,6.591846936603e+00,3.078296118813e+06,7.703048525632e-01,2,6.071532230773e-01,4.975124378109e-03,1.492537313433e-02,5.970149253731e-02,4.761904761905e-02,4.975124378109e-03,2.790380386515e-01,1.764705882353e-01,-2.632819762090e-02,200
36,linear,3.875258750437e+00,4.935298252593e+00,2.778320017206e+07,8.544350486525e-01,2,4.773728060997e-01,4.975124378109e-03,1.044776119403e-01,1.492537313433e-01,4.761904761905e-02,4.975124378109e-03,-9.446419926227e-03,1.111111111111e-01,-1.877681181428e-02,200
36,log,6.667255131919e+00,2.698705999858e+01,1.384148546473e+07,7.320168778216e-01,3,7.038712341161e-01,4.975124378109e-03,4.975124378109e-03,2.636815920398e-01,4.761904761905e-02,4.975124378109e-03,1.000000000000e+00,1.000000000000e+00,1.000000000000e+00,200
36,quantile,6.892486847543e+00,6.951125159636e+00,2.423080327883e+06,7.699611370154e-01,2,6.105388024655e-01,4.975124378109e-03,4.975124378109e-02,5.970149253731e-02,4.761904761905e-02,4.975124378109e-03,2.632521678842e-01,5.263157894737e-02,-2.632819762090e-02,200
37,linear,4.120336651784e+00,4.683558330426e+00,2.712039259871e+07,8.511279218649e-01,2,4.950295749499e-01,4.975124378109e-03,9.452736318408e-02,1.194029850746e-01,4.761904761905e-02,4.975124378109e-03,-9.193260704293e-03,5.263157894737e-02,-1.877681181428e-02,200
37,log,6.677231024753e+00,2.736796584695e+01,1.348180792927e+07,7.284358968084e-01,3,6.931685817853e-01,4.975124378109e-03,4.975124378109e-03,2.238805970149e-01,4.761904761905e-02,4.975124378109e-03,1.000000000000e+00,1.000000000000e+00,1.000000000000e+00,200
37,quantile,7.372918438979e+00,6.969954540232e+00,2.355382492527e+06,7.674844795398e-01,2,6.310033099646e-01,4.975124378109e-03,9.950248756219e-03,4.477611940299e-02,4.761904761905e-02,4.975124378109e-03,2.630002079475e-01,5.263157894737e-02,-2.632819762090e-02,200
38,linear,4.120336651784e+00,4.683558330426e+00,2.640669774085e+07,8.482975541271e-01,2,4.950296855785e-01,4.975124378109e-03,8.457711442786e-02,9.452736318408e-02,4.761904761905e-02,4.975124378109e-03,-8.345684589836e-03,5.263157894737e-02,-1.877681181428e-02,200
38,log,6.790695099463e+00,2.213332720681e+01,1.635281753800e+07,7.460141425323e-01,2,6.856851926634e-01,4.975124378109e-03,4.975124378109e-03,1.094527363184e-01,4.761904761905e-02,4.975124378109e-03,1.000000000000e+00,1.000000000000e+00,1.000000000000e+00,200
38,quantile,7.341182311132e+00,7.067246023307e+00,2.200650282624e+06,7.712606725915e-01,2,6.325072028738e-01,4.975124378109e-03,1.990049751244e-02,8.955223880597e-02,4.761904761905e-02,4.975124378109e-03,2.332170642147e-01,5.263157894737e-02,-2.632819762090e-02,200
42,linear,4.267891720661e+00,4.580026618740e+00,2.400616799391e+07,8.440983904449e-01,2,5.065550286810e-01,4.975124378109e-03,6.965174129353e-02,1.094527363184e-01,4.761904761905e-02,4.975124378109e-03,-7.991491243097e-03,1.764705882353e-01,-1.877681181428e-02,200
42,log,7.184555489229e+00,2.612939104226e+01,1.318360716380e+07,7.323914494556e-01,2,6.925843839963e-01,4.975124378109e-03,4.975124378109e-03,1.194029850746e-01,4.761904761905e-02,4.975124378109e-03,1.000000000000e+00,1.000000000000e+00,1.000000000000e+00,200
42,quantile,7.523645493374e+00,7.400130974098e+00,1.802510706247e+06,7.700239916051e-01,2,6.315834051542e-01,4.975124378109e-03,1.990049751244e-02,6.965174129353e-02,4.761904761905e-02,4.975124378109e-03,2.318958348252e-01,5.263157894737e-02,-2.632819762090e-02,200
50,linear,5.027649509378e+00,5.410502600158e+00,2.018318230033e+07,8.331936036568e-01,3,5.508668816675e-01,4.975124378109e-03,5.472636815920e-02,1.343283582090e-01,4.761904761905e-02,4.975124378109e-03,-7.422619028144e-03,1.764705882353e-01,-1.877681181428e-02,200
50,log,7.121514350730e+00,2.396431413682e+01,9.384408886957e+06,7.330986720920e-01,2,7.129523382364e-01,4.975124378109e-03,4.975124378109e-03,6.965174129353e-02,4.761904761905e-02,4.975124378109e-03,1.000000000000e+00,1.000000000000e+00,1.000000000000e+00,200
50,quantile,8.007131336780e+00,7.309825898802e+00,1.272138788085e+06,7.704353056631e-01,2,6.728830548026e-01,4.975124378109e-03,3.482587064677e-02,4.975124378109e-02,4.761904761905e-02,4.975124378109e-03,2.368326582648e-01,5.263157894737e-02,-2.632819762090e-02,200
64,linear,4.633663420446e+00,4.514384671036e+00,1.576438927860e+07,8.230077483840e-01,3,5.752946993800e-01,4.975124378109e-03,7.960199004975e-02,7.960199004975e-02,4.761904761905e-02,4.975124378109e-03,-5.881075181104e-03,0.000000000000e+00,-1.877681181428e-02,200
64,log,6.821107165659e+00,2.635156605107e+01,6.345749733310e+06,7.248330165056e-01,3,7.210534556559e-01,4.975124378109e-03,4.975124378109e-03,1.990049751244e-01,4.761904761905e-02,4.975124378109e-03,1.000000000000e+00,1.000000000000e+00,1.000000000000e+00,200
64,quantile,9.064539224052e+00,7.534132235972e+00,8.071152302035e+05,7.691081692951e-01,2,7.048829848267e-01,4.975124378109e-03,5.472636815920e-02,4.477611940299e-02,4.761904761905e-02,4.975124378109e-03,2.046094856170e-01,5.263157894737e-02,-2.632819762090e-02,200
